## Date:  August 8, 1998
##
## The Carnegie Mellon Pronouncing Dictionary [cmudict.0.6] is Copyright 1998
## by Carnegie Mellon University. Use of this dictionary, for any research or
## commercial purpose, is completely unrestricted.  If you make use of or
## redistribute this material, we would appreciate acknowlegement of its
## origin.
##
## cmudict.0.6 is the fifth release of cmudict, first released as cmudict.0.1
## in September of 1993.  There was no generally available public release 
## of version 0.5.
##
## See the README in this directory before you use this dictionary.
##
## Thanks to Bill Huggins at BBN; Bill Fisher at NIST; Alex Hauptman,
## Alex Rudnicky, Jack Mostow, Roni Rosenfeld, Richard Stern,
## Matthew Siegler, Kevin Lenzo, Maxine Eskenazi, Mosur Ravishankar,
## Eric Thayer, Kristie Seymore, and Raj Reddy at CMU; Lin Chase at
## LIMSI; Doug Paul at MIT Lincoln Labs; Ben Serridge at MIT SLS; Murray 
## Spiegel at Bellcore; Tony Robinson at Cambridge UK; David Bowness of 
## CAE Electronics Ltd. and CRIM; Stephen Hocking; Jerry Quinn at BNR 
## Canada, and Marshal Midden for bringing to our attention problems and 
## inadequacies with the first releases. Most special thanks to Bob Weide 
## for all his work on prior versions of the dictionary.
##
## We welcome input from users and will continue to acknowledge such input
## in subsequent releases. If I failed to acknowledge your input in this
## release, please remind me and I will update these comments. If I failed to
## fix things that you brought to my attention, please remind me and have
## patience. If I actually fixed things that you brought to my attention and
## you appreciate it, I wouldn't mind a pat on the back.
##
## This version differs from previous releases of cmudict most significantly
## in the addition of new words from the common ARPA tasks for 1996 and 1997.
##
## There are undoubtedly still errors and inconsistencies in this dictionary
## so keep your eyes open for problems and mail them to me.
##
## We hope this dictionary is an improvement over cmudict.0.4.
## 
## email: cmudict@cs.cmu.edu
## web:   http://www.speech.cs.cmu.edu/cgi-bin/cmudict
## ftp:   ftp://ftp.cs.cmu.edu/project/speech/dict/
##
## Thank you for your continued interest in the CMU Pronouncing 
## Dictionary.  Further addictions and improvements are planned
## for forthcoming releases.
##
!exclamation-point  ɛk - sklə - ˈmeɪ - ʃən - pɔɪnt
"close-quote  ˈkloʊz - ˈkwoʊt
.period  ˈpɪ - ri - əd
.point  ˈpɔɪnt
/slash  ˈslæʃ
0malefactors  ˈmæ - lə - fæk - tɚz
:colon  ˈkoʊ - lən
;semi-colon  ˈsɛ - mi - ˈkoʊ - lən
;semi-colon(2)  ˈsɛ - mɪ - koʊ - lən
?question-mark  ˈkwɛs - tʃən - ˈmɑrk
a  ə
a's  ˈeɪz
a(2)  ˈeɪ
a.  ˈeɪ
a.'s  ˈeɪz
a.s  ˈeɪz
a42128  ˈeɪ - ˈfɔr - ˈtu - ˈwʌn - ˈtu - ˈeɪt
aaa  trɪ - pə - ˈleɪ
aaberg  ˈɑ - bɚg
aachen  ˈɑ - kən
aaker  ˈɑ - kɚ
aalseth  ˈɑl - sɛθ
aamodt  ˈɑ - mət
aancor  ˈɑn - kɔr
aardema  ɑr - ˈdɛ - mə
aardvark  ˈɑrd - vɑrk
aaron  ˈɛ - rən
aaron's  ˈɛ - rənz
aarons  ˈɛ - rənz
aaronson  ˈɛ - rən - sən
aaronson's  ˈɛ - rən - sənz
aaronson's(2)  ˈɑ - rən - sənz
aaronson(2)  ˈɑ - rən - sən
aarti  ˈɑr - ti
aase  ˈɑs
aasen  ˈɑ - sən
ab  ˈæb
ab(2)  ˈeɪ - ˈbi
ababa  ə - ˈbɑ - bə
ababa(2)  ˈɑ - bə - bə
abacha  ˈæ - bə - kə
aback  ə - ˈbæk
abaco  ˈæ - bə - koʊ
abacus  ˈæ - bə - kəs
abad  ə - ˈbɑd
abadaka  ə - ˈbæ - də - kə
abadi  ə - ˈbæ - di
abadie  ə - ˈbæ - di
abair  ə - ˈbɛr
abalkin  ə - ˈbɑl - kɪn
abalone  æ - bə - ˈloʊ - ni
abalos  ɑ - ˈbɑ - loʊz
abandon  ə - ˈbæn - dən
abandoned  ə - ˈbæn - dənd
abandoning  ə - ˈbæn - də - nɪŋ
abandonment  ə - ˈbæn - dən - mənt
abandonments  ə - ˈbæn - dən - mənts
abandons  ə - ˈbæn - dənz
abanto  ə - ˈbæn - toʊ
abarca  ə - ˈbɑr - kə
abare  ɑ - ˈbɑ - ri
abascal  ˈæ - bəs - kəl
abash  ə - ˈbæʃ
abashed  ə - ˈbæʃt
abate  ə - ˈbeɪt
abated  ə - ˈbeɪ - tɪd
abatement  ə - ˈbeɪt - mənt
abatements  ə - ˈbeɪt - mənts
abates  ə - ˈbeɪts
abating  ə - ˈbeɪ - tɪŋ
abba  ˈæ - bə
abbado  ə - ˈbɑ - doʊ
abbas  ə - ˈbɑs
abbasi  ɑ - ˈbɑ - si
abbate  ˈɑ - beɪt
abbatiello  ɑ - bɑ - ti - ˈɛ - loʊ
abbe  ˈæ - bi
abbe(2)  æ - ˈbeɪ
abbenhaus  ˈæ - bən - haʊs
abbett  ə - ˈbɛt
abbeville  ˈæb - vɪl
abbey  ˈæ - bi
abbey's  ˈæ - biz
abbie  ˈæ - bi
abbitt  ˈæ - bɪt
abbot  ˈæ - bət
abbott  ˈæ - bət
abbott's  ˈæ - bəts
abboud  ə - ˈbud
abboud(2)  ə - ˈbaʊd
abbreviate  ə - ˈbri - vi - eɪt
abbreviated  ə - ˈbri - vi - eɪ - təd
abbreviated(2)  ə - ˈbri - vi - eɪ - tɪd
abbreviates  ə - ˈbri - vi - eɪts
abbreviating  ə - ˈbri - vi - eɪ - tɪŋ
abbreviation  ə - bri - vi - ˈeɪ - ʃən
abbreviations  ə - bri - vi - ˈeɪ - ʃənz
abbruzzese  ɑ - brut - ˈseɪ - zi
abbs  ˈæbz
abby  ˈæ - bi
abco  ˈæb - koʊ
abcotek  ˈæb - koʊ - tɛk
abdalla  æb - ˈdæ - lə
abdallah  æb - ˈdæ - lə
abdel  ˈæb - dɛl
abdella  æb - ˈdɛ - lə
abdicate  ˈæb - də - keɪt
abdicated  ˈæb - də - keɪ - təd
abdicates  ˈæb - də - keɪts
abdicating  ˈæb - dɪ - keɪ - tɪŋ
abdication  æb - dɪ - ˈkeɪ - ʃən
abdnor  ˈæbd - nɚ
abdo  ˈæb - doʊ
abdollah  æb - ˈdɑ - lə
abdomen  æb - ˈdoʊ - mən
abdomen(2)  ˈæb - də - mən
abdominal  æb - ˈdɑ - mə - nəl
abdominal(2)  əb - ˈdɑ - mə - nəl
abduct  æb - ˈdʌkt
abducted  æb - ˈdʌk - tɪd
abducted(2)  əb - ˈdʌk - tɪd
abductee  æb - dʌk - ˈti
abductees  æb - dʌk - ˈtiz
abducting  æb - ˈdʌk - tɪŋ
abducting(2)  əb - ˈdʌk - tɪŋ
abduction  æb - ˈdʌk - ʃən
abduction(2)  əb - ˈdʌk - ʃən
abductions  æb - ˈdʌk - ʃənz
abductions(2)  əb - ˈdʌk - ʃənz
abductor  æb - ˈdʌk - tɚ
abductor(2)  əb - ˈdʌk - tɚ
abductors  æb - ˈdʌk - tɚz
abductors(2)  əb - ˈdʌk - tɚz
abducts  æb - ˈdʌkts
abdul  æb - ˈdul
abdulaziz  æb - du - lə - ˈziz
abdulla  ɑb - ˈdu - lə
abdullah  æb - ˈdʌ - lə
abe  ˈeɪb
abed  ə - ˈbɛd
abedi  ə - ˈbɛ - di
abee  ə - ˈbi
abel  ˈeɪ - bəl
abela  ɑ - ˈbɛ - lə
abelard  ˈæ - bɪ - lɚd
abele  ə - ˈbil
abeles  ə - ˈbilz
abeles(2)  ˈeɪ - bə - liz
abell  ˈeɪ - bəl
abella  ə - ˈbɛ - lə
abeln  ˈæ - bɪln
abelow  ˈæ - bə - loʊ
abels  ˈeɪ - bəlz
abelson  ˈæ - bɪl - sən
abend  ˈæ - bɛnd
abend(2)  ə - ˈbɛnd
abendroth  ˈæ - bɪn - drɔθ
aber  ˈeɪ - bɚ
abercrombie  æ - bɚ - ˈkrɑm - bi
aberdeen  ˈæ - bɚ - din
aberford  ˈeɪ - bɚ - fɚd
aberg  ˈæ - bɚg
aberle  ˈæ - bɚ - əl
aberle(2)  ˈæ - bɚl
abermin  ˈæ - bɚ - mɪn
abernathy  ˈæ - bɚ - næ - θi
abernethy  ˈæ - bɚ - nɛ - θi
aberrant  æ - ˈbɛ - rənt
aberration  æ - bɚ - ˈeɪ - ʃən
aberrational  æ - bɚ - ˈeɪ - ʃə - nəl
aberrations  æ - bɚ - ˈeɪ - ʃənz
abert  ˈæ - bɚt
abet  ə - ˈbɛt
abetted  ə - ˈbɛ - tɪd
abetting  ə - ˈbɛ - tɪŋ
abex  ˈeɪ - bɛks
abeyance  ə - ˈbeɪ - əns
abeyta  ɑ - ˈbeɪ - tə
abhor  æb - ˈhɔr
abhorred  əb - ˈhɔrd
abhorrence  əb - ˈhɔ - rəns
abhorrent  æb - ˈhɔ - rənt
abhors  əb - ˈhɔrz
abid  ˈeɪ - bɪd
abide  ə - ˈbaɪd
abided  ə - ˈbaɪ - dɪd
abides  ə - ˈbaɪdz
abiding  ə - ˈbaɪ - dɪŋ
abie  ˈæ - bi
abigail  ˈæ - bə - geɪl
abila  ɑ - ˈbi - lə
abilene  ˈæ - bɪ - lin
abilities  ə - ˈbɪ - lə - tiz
ability  ə - ˈbɪ - lə - ti
abington  ˈæ - bɪŋ - tən
abio  ˈɑ - bi - oʊ
abiola  ɑ - bi - ˈoʊ - lə
abiola's  ɑ - bi - ˈoʊ - ləz
abiomed  eɪ - ˈbi - ə - mɛd
abitibi  æ - bɪ - ˈti - bi
abitz  ˈæ - bɪts
abject  ˈæb - dʒɛkt
abkhazia  æbk - ˈhɑ - zyə
abkhazia(2)  æbk - ˈhæ - zyə
abkhazian  æbk - ˈhɑ - zi - ən
abkhazian(2)  æbk - ˈhæ - zi - ən
abkhazian(3)  æbk - ˈhɑ - zyən
abkhazian(4)  æbk - ˈhæ - zyən
abkhazians  æbk - ˈhɑ - zi - ənz
abkhazians(2)  æbk - ˈhæ - zi - ənz
ablaze  ə - ˈbleɪz
able  ˈeɪ - bəl
abled  ˈeɪ - bəld
abler  ˈeɪ - bəl - ɚ
abler(2)  ˈeɪ - blɚ
ables  ˈeɪ - bəlz
ablest  ˈeɪ - bəlst
ablest(2)  ˈeɪ - bləst
abloom  ə - ˈblum
ably  ˈeɪ - bli
abner  ˈæb - nɚ
abney  ˈæb - ni
abnormal  æb - ˈnɔr - məl
abnormalities  æb - nɔr - ˈmæ - lə - tiz
abnormality  æb - nɔr - ˈmæ - lə - ti
abnormally  æb - ˈnɔr - mə - li
abo  ˈɑ - boʊ
abo's  ˈɑ - boʊz
aboard  ə - ˈbɔrd
abode  ə - ˈboʊd
abolish  ə - ˈbɑ - lɪʃ
abolished  ə - ˈbɑ - lɪʃt
abolishes  ə - ˈbɑ - lɪ - ʃɪz
abolishing  ə - ˈbɑ - lɪ - ʃɪŋ
abolition  æ - bə - ˈlɪ - ʃən
abolitionism  æ - bə - ˈlɪ - ʃə - nɪ - zəm
abolitionist  æ - bə - ˈlɪ - ʃə - nəst
abolitionists  æ - bə - ˈlɪ - ʃə - nəsts
abolitionists(2)  æ - bə - ˈlɪ - ʃə - nəss
abolitionists(3)  æ - bə - ˈlɪ - ʃə - nəs
abominable  ə - ˈbɑ - mə - nə - bəl
abomination  ə - bɑ - mə - ˈneɪ - ʃən
abood  ə - ˈbud
aboodi  ə - ˈbu - di
aboriginal  æ - bɚ - ˈɪ - dʒə - nəl
aborigine  æ - bɚ - ˈɪ - dʒə - ni
aborigines  æ - bɚ - ˈɪ - dʒə - niz
aborn  ə - ˈbɔrn
abort  ə - ˈbɔrt
aborted  ə - ˈbɔr - tɪd
abortifacient  ə - bɔr - tə - ˈfeɪ - ʃənt
abortifacients  ə - bɔr - tə - ˈfeɪ - ʃənts
aborting  ə - ˈbɔr - tɪŋ
abortion  ə - ˈbɔr - ʃən
abortionist  ə - ˈbɔr - ʃən - ɪst
abortionists  ə - ˈbɔr - ʃən - ɪsts
abortionists(2)  ə - ˈbɔr - ʃən - ɪss
abortionists(3)  ə - ˈbɔr - ʃən - ɪs
abortions  ə - ˈbɔr - ʃənz
abortive  ə - ˈbɔr - tɪv
abott  ə - ˈbɑt
abou  ə - ˈbu
aboud  ɑ - ˈbud
abouhalima  ɑ - bu - hɑ - ˈli - mə
abouhalima's  ɑ - bu - hɑ - ˈli - məz
abound  ə - ˈbaʊnd
abounded  ə - ˈbaʊn - dɪd
abounding  ə - ˈbaʊn - dɪŋ
abounds  ə - ˈbaʊndz
about  ə - ˈbaʊt
about's  ə - ˈbaʊts
above  ə - ˈbʌv
above's  ə - ˈbʌvz
aboveboard  ə - ˈbʌv - bɔrd
abplanalp  ˈæb - plə - nælp
abra  ˈɑ - brə
abracadabra  æ - brə - kə - ˈdæ - brə
abraham  ˈeɪ - brə - hæm
abrahamian  æ - brə - ˈheɪ - mi - ən
abrahams  ˈeɪ - brə - hæmz
abrahamsen  æ - brə - ˈhæm - sən
abrahamson  ə - ˈbræ - həm - sən
abram  ə - ˈbræm
abramczyk  ˈɑ - brəm - tʃɪk
abramo  ɑ - ˈbrɑ - moʊ
abramovitz  ə - ˈbrɑ - mə - vɪts
abramowicz  ə - ˈbrɑ - mə - vɪtʃ
abramowitz  ə - ˈbrɑ - mə - wɪts
abrams  ˈeɪ - brəmz
abramson  ˈeɪ - brəm - sən
abrasion  ə - ˈbreɪ - ʒən
abrasions  ə - ˈbreɪ - ʒənz
abrasive  ə - ˈbreɪ - sɪv
abrasives  ə - ˈbreɪ - sɪvz
abreast  ə - ˈbrɛst
abrego  ɑ - ˈbrɛ - goʊ
abreu  ə - ˈbru
abridge  ə - ˈbrɪdʒ
abridged  ə - ˈbrɪdʒd
abril  ə - ˈbrɪl
abroad  ə - ˈbrɔd
abrogate  ˈæ - brə - geɪt
abrogated  ˈæ - brə - geɪ - tɪd
abrogating  ˈæ - brə - geɪ - tɪŋ
abrogation  æ - brə - ˈgeɪ - ʃən
abron  ə - ˈbrɑn
abrupt  ə - ˈbrʌpt
abruptly  ə - ˈbrʌpt - li
abruptness  ə - ˈbrʌpt - nəs
abrutyn  ˈeɪ - bru - tɪn
abruzzese  ɑ - brut - ˈseɪ - zi
abruzzo  ɑ - ˈbru - zoʊ
abs  ˈeɪ - ˈbi - ˈɛs
abs(2)  ˈæbz
absalom  ˈæb - sə - ləm
abscam  ˈæb - skæm
abscess  ˈæb - sɛs
absence  ˈæb - səns
absences  ˈæb - sən - sɪz
absent  ˈæb - sənt
absentee  æb - sən - ˈti
absenteeism  æb - sən - ˈti - ɪ - zəm
absentees  æb - sən - ˈtiz
absentia  æb - ˈsɛn - ʃə
absher  ˈæb - ʃɚ
abshier  ˈæb - ʃi - ɚ
abshire  ˈæb - ʃaɪr
abso  ˈæb - soʊ
absolom  ˈæb - sə - ləm
absolut  æb - sə - ˈlut
absolute  ˈæb - sə - lut
absolutely  æb - sə - ˈlut - li
absoluteness  ˈæb - sə - lut - nəs
absolutes  ˈæb - sə - luts
absolution  æb - sə - ˈlu - ʃən
absolutism  ˈæb - sə - lu - tɪ - zəm
absolutist  æb - sɪ - ˈlu - tɪst
absolve  əb - ˈzɑlv
absolve(2)  æb - ˈzɑlv
absolved  əb - ˈzɑlvd
absolved(2)  æb - ˈzɑlvd
absolves  əb - ˈzɑlvz
absolves(2)  æb - ˈzɑlvz
absolving  əb - ˈzɑl - vɪŋ
absolving(2)  æb - ˈzɑl - vɪŋ
absorb  əb - ˈzɔrb
absorbed  əb - ˈzɔrbd
absorbency  əb - ˈzɔr - bən - si
absorbent  əb - ˈzɔr - bənt
absorber  əb - ˈzɔr - bɚ
absorbers  əb - ˈzɔr - bɚz
absorbing  əb - ˈzɔr - bɪŋ
absorbs  əb - ˈzɔrbz
absorption  əb - ˈzɔrp - ʃən
absorption(2)  əb - ˈsɔrp - ʃən
abstain  əb - ˈsteɪn
abstain(2)  æb - ˈsteɪn
abstained  əb - ˈsteɪnd
abstained(2)  æb - ˈsteɪnd
abstaining  əb - ˈsteɪ - nɪŋ
abstaining(2)  æb - ˈsteɪ - nɪŋ
abstention  əb - ˈstɛn - tʃən
abstention(2)  æb - ˈstɛn - tʃən
abstentions  əb - ˈstɛn - tʃənz
abstentions(2)  æb - ˈstɛn - tʃənz
abstinence  ˈæb - stə - nəns
abstinent  ˈæb - stə - nənt
abston  ˈæb - stən
abstract  æb - ˈstrækt
abstract(2)  ˈæb - strækt
abstracted  ˈæb - stræk - tɪd
abstraction  æb - ˈstræk - ʃən
abstractions  æb - ˈstræk - ʃənz
abstracts  ˈæb - strækts
abstruse  əb - ˈstrus
absurd  əb - ˈsɝd
absurdist  əb - ˈsɝ - dɪst
absurdities  əb - ˈsɝ - də - tiz
absurdity  əb - ˈsɝ - də - ti
absurdly  əb - ˈsɝd - li
abt  ˈæbt
abt(2)  ˈeɪ - ˈbi - ˈti
abts  ˈæbts
abts(2)  ˈeɪ - ˈbi - ˈtiz
abts(3)  ˈeɪ - ˈbi - ˈti - ˈɛs
abu  ˈæ - bu
abudrahm  ə - ˈbʌ - drəm
abuladze  æ - byu - ˈlæd - zi
abundance  ə - ˈbʌn - dəns
abundant  ə - ˈbʌn - dənt
abundantly  ə - ˈbʌn - dənt - li
aburto  ə - ˈbʊr - toʊ
aburto's  ə - ˈbʊr - toʊz
abuse  ə - ˈbyus
abuse(2)  ə - ˈbyuz
abused  ə - ˈbyuzd
abuser  ə - ˈbyu - zɚ
abusers  ə - ˈbyu - zɚz
abuses  ə - ˈbyu - sɪz
abuses(2)  ə - ˈbyu - zɪz
abusing  ə - ˈbyu - zɪŋ
abusive  ə - ˈbyu - sɪv
abut  ə - ˈbʌt
abuts  ə - ˈbʌts
abutted  ə - ˈbʌ - təd
abutting  ə - ˈbʌ - tɪŋ
abuzz  ə - ˈbʌz
abysmal  ə - ˈbɪz - məl
abysmally  ə - ˈbɪz - mə - li
abyss  ə - ˈbɪs
abzug  ˈæb - zʌg
abzug(2)  ˈæb - zʊg
ac  ˈeɪ - ˈsi
aca  ˈæ - kə
acacia  ə - ˈkeɪ - ʃə
academe  ˈæ - kə - dim
academia  æ - kə - ˈdi - mi - ə
academic  æ - kə - ˈdɛ - mɪk
academically  æ - kə - ˈdɛ - mɪk - li
academician  æ - kə - də - ˈmɪ - ʃən
academicians  æ - kə - də - ˈmɪ - ʃənz
academicians(2)  ə - kæ - də - ˈmɪ - ʃənz
academics  æ - kə - ˈdɛ - mɪks
academies  ə - ˈkæ - də - miz
academy  ə - ˈkæ - də - mi
academy's  ə - ˈkæ - də - miz
acadia  ə - ˈkeɪ - di - ə
acampora  ə - ˈkæm - pɚ - ə
acantha  ɑ - ˈkɑn - ðə
acapulco  æ - kə - ˈpʊl - koʊ
accardi  ɑ - ˈkɑr - di
accardo  ɑ - ˈkɑr - doʊ
accede  æk - ˈsid
acceded  æk - ˈsi - dɪd
accedes  æk - ˈsidz
acceding  æk - ˈsi - dɪŋ
accel  ək - ˈsɛl
accelerant  æk - ˈsɛ - lɚ - ənt
accelerants  æk - ˈsɛ - lɚ - ənts
accelerate  æk - ˈsɛ - lɚ - eɪt
accelerated  æk - ˈsɛ - lɚ - eɪ - tɪd
accelerates  æk - ˈsɛ - lɚ - eɪts
accelerating  æk - ˈsɛ - lɚ - eɪ - tɪŋ
acceleration  æk - sɛ - lɚ - ˈeɪ - ʃən
accelerator  æk - ˈsɛ - lɚ - eɪ - tɚ
accelerometer  æk - sɛ - lɚ - ˈɑ - mə - tɚ
accelerometers  æk - sɛ - lɚ - ˈɑ - mə - tɚz
accent  ək - ˈsɛnt
accent(2)  ˈæk - sɛnt
accented  ˈæk - sɛn - tɪd
accenting  ˈæk - sɛn - tɪŋ
accents  ˈæk - sɛnts
accentuate  æk - ˈsɛn - tʃu - eɪt
accentuated  æk - ˈsɛn - tʃəw - eɪ - tɪd
accentuates  æk - ˈsɛn - tʃu - eɪts
accentuating  æk - ˈsɛn - tʃəw - eɪ - tɪŋ
accept  æk - ˈsɛpt
accept(2)  ək - ˈsɛpt
acceptability  ək - sɛp - tə - ˈbɪ - lə - ti
acceptable  æk - ˈsɛp - tə - bəl
acceptable(2)  ək - ˈsɛp - tə - bəl
acceptance  æk - ˈsɛp - təns
acceptance(2)  ək - ˈsɛp - təns
acceptances  æk - ˈsɛp - tən - sɪz
accepted  æk - ˈsɛp - tɪd
accepted(2)  ək - ˈsɛp - təd
accepting  æk - ˈsɛp - tɪŋ
accepting(2)  ək - ˈsɛp - tɪŋ
accepts  æk - ˈsɛpts
access  ˈæk - sɛs
accessed  ˈæk - sɛst
accessibility  æk - sɛ - sə - ˈbɪ - lɪ - ti
accessible  æk - ˈsɛ - sə - bəl
accessing  ˈæk - sɛ - sɪŋ
accession  ək - ˈsɛ - ʃən
accessories  æk - ˈsɛ - sɚ - iz
accessorize  æk - ˈsɛ - sɚ - aɪz
accessorized  æk - ˈsɛ - sɚ - aɪzd
accessory  æk - ˈsɛ - sɚ - i
accetta  ɑ - ˈtʃɛ - tə
accident  ˈæk - sə - dənt
accident's  ˈæk - sə - dənts
accidental  æk - sə - ˈdɛn - təl
accidental(2)  æk - sə - ˈdɛ - nəl
accidentally  æk - sə - ˈdɛn - tə - li
accidentally(2)  æk - sə - ˈdɛ - nə - li
accidently  ˈæk - sə - dənt - li
accidents  ˈæk - sə - dənts
accion  ˈæ - tʃi - ən
accival  ˈæ - sɪ - vɑl
acclaim  ə - ˈkleɪm
acclaimed  ə - ˈkleɪmd
acclaiming  ə - ˈkleɪ - mɪŋ
acclimate  ˈæ - klə - meɪt
acclimated  ˈæ - klə - meɪ - tɪd
acclimation  æ - klə - ˈmeɪ - ʃən
acco  ˈæ - koʊ
accola  ɑ - ˈkoʊ - lə
accolade  ˈæ - kə - leɪd
accolades  ˈæ - kə - leɪdz
accomando  ɑ - koʊ - ˈmɑn - doʊ
accommodate  ə - ˈkɑ - mə - deɪt
accommodated  ə - ˈkɑ - mə - deɪ - təd
accommodates  ə - ˈkɑ - mə - deɪts
accommodating  ə - ˈkɑ - mə - deɪ - tɪŋ
accommodation  ə - kɑ - mə - ˈdeɪ - ʃən
accommodations  ə - kɑ - mə - ˈdeɪ - ʃənz
accommodative  ə - ˈkɑ - mə - deɪ - tɪv
accompanied  ə - ˈkʌm - pə - nid
accompanies  ə - ˈkʌm - pə - niz
accompaniment  ə - ˈkʌmp - nɪ - mənt
accompaniment(2)  ə - ˈkʌmp - ni - mənt
accompaniments  ə - ˈkʌmp - nɪ - mənts
accompaniments(2)  ə - ˈkʌmp - ni - mənts
accompanist  ə - ˈkʌm - pə - nəst
accompany  ə - ˈkʌm - pə - ni
accompanying  ə - ˈkʌm - pə - ni - ɪŋ
accompli  ɑ - ˈkɑm - pli
accompli(2)  ə - ˈkɑm - pli
accomplice  ə - ˈkɑm - pləs
accomplices  ə - ˈkɑm - plə - səz
accomplish  ə - ˈkɑm - plɪʃ
accomplished  ə - ˈkɑm - plɪʃt
accomplishes  ə - ˈkɑm - plɪ - ʃɪz
accomplishing  ə - ˈkɑm - plɪ - ʃɪŋ
accomplishment  ə - ˈkɑm - plɪʃ - mənt
accomplishments  ə - ˈkɑm - plɪʃ - mənts
accor  ˈæ - kɔr
accor's  ˈæ - kɚz
accord  ə - ˈkɔrd
accord's  ə - ˈkɔrdz
accordance  ə - ˈkɔr - dəns
accorded  ə - ˈkɔr - dɪd
according  ə - ˈkɔr - dɪŋ
accordingly  ə - ˈkɔr - dɪŋ - li
accordion  ə - ˈkɔr - di - ən
accordions  ə - ˈkɔr - di - ənz
accords  ə - ˈkɔrdz
accost  ə - ˈkɔst
accosted  ə - ˈkɑ - stəd
accosting  ə - ˈkɑ - stɪŋ
account  ə - ˈkaʊnt
